feature,gain
Morgan_577,0.01273619989517105
Morgan_284,0.012515093827368604
Morgan_516,0.012477816057979851
Morgan_771,0.012206355901040522
Morgan_601,0.012200880052927751
Morgan_1133,0.012121346805992892
RDKit_PEOE_VSA4,0.012105348262102328
Morgan_480,0.01197788043433689
RDKit_Chi0n,0.011967521108815965
RDKit_Kappa1,0.011851893691840696
RDKit_fr_Ndealkylation2,0.011809892755783421
RDKit_VSA_EState3,0.011745874661578766
Morgan_1908,0.011740927621847912
RDKit_SlogP_VSA8,0.011713611330805826
Morgan_1073,0.011678986695996534
Morgan_1672,0.011579704046617243
Morgan_194,0.011375265539924745
Morgan_835,0.011361502906081754
Morgan_11,0.011360996664606219
Morgan_650,0.011044334100947475
Morgan_1093,0.010956174485176232
RDKit_fr_Al_COO,0.010903443373352853
RDKit_SlogP_VSA11,0.010884636378661007
RDKit_MinAbsPartialCharge,0.010859048212784349
Morgan_192,0.010816975932183507
Morgan_432,0.010730942044503344
RDKit_fr_pyridine,0.010620698115963
Morgan_739,0.010471606561520339
Morgan_227,0.010265351166326118
Morgan_307,0.010075342566158853
RDKit_NumValenceElectrons,0.010022204639303733
Morgan_394,0.009870819329893888
Morgan_1,0.00971954300534215
RDKit_BertzCT,0.00958648108940918
Morgan_504,0.009530251023272054
Morgan_1181,0.009461665087729734
RDKit_fr_COO2,0.009421167861203462
Morgan_401,0.00940572137634338
RDKit_BCUT2D_MRHI,0.009374767129021187
RDKit_Chi1n,0.009229921527746638
Morgan_895,0.009191671019261665
RDKit_fr_bicyclic,0.009042918856854737
Morgan_1005,0.008758894411378417
Morgan_1755,0.008752375052931048
Morgan_1504,0.008467021972477961
RDKit_SMR_VSA6,0.007950610181158533
Morgan_35,0.007566784391288504
Morgan_881,0.007430291706599246
Morgan_1791,0.007367132407204554
Morgan_561,0.007363659335078626
Morgan_387,0.007253962960879711
RDKit_NumHAcceptors,0.007238585322106464
RDKit_Kappa2,0.007178213300428193
Morgan_1848,0.00698833979410273
Morgan_1516,0.00694771752906611
RDKit_fr_Ndealkylation1,0.0066763046211670025
RDKit_fr_unbrch_alkane,0.00645121411250499
Morgan_1905,0.005888077303451976
Morgan_1828,0.005769276514189239
